lcz_lib,lcz_code,insee,commune,expo_jour,expo_nuit,vulnerabilite_jour,vulnerabilite_nuit,surface,gid
Ensemble d'immeubles compact,LCZ 2,69259,Vénissieux,fort,moyen,fort,moyen,2949,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69382,Lyon 2e Arrondissement,fort,fort,fort,fort,6683,
Ensemble d'immeubles espacés,LCZ 5,69204,Saint-Genis-Laval,moyen,faible,moyen,moyen,59311,
Ensemble d'immeubles espacés,LCZ 5,69091,Givors,fort,faible,fort,fort,11551,
Ensemble de maisons espacées,LCZ 6,69290,Saint-Priest,moyen,faible,moyen,moyen,11639,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,fort,fort,fort,26847,
Ensemble d'immeubles compact,LCZ 2,69266,Villeurbanne,fort,fort,fort,fort,8522,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69266,Villeurbanne,fort,fort,fort,fort,51212,
Ensemble de tours espacées,LCZ 4,69387,Lyon 7e Arrondissement,moyen,fort,moyen,fort,17580,
Ensemble d'immeubles compact,LCZ 2,69199,Saint-Fons,fort,fort,fort,fort,3457,
Ensemble de tours espacées,LCZ 4,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,8983,
Ensemble de maisons espacées,LCZ 6,69044,Charbonnières-les-Bains,moyen,faible,moyen,moyen,21429,
Ensemble de maisons espacées,LCZ 6,69153,Poleymieux-au-Mont-d'Or,moyen,faible,moyen,moyen,4681,
Ensemble de maisons espacées,LCZ 6,69199,Saint-Fons,moyen,faible,fort,fort,8964,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69029,Bron,moyen,faible,moyen,moyen,59225,
Pelouses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69266,Villeurbanne,fort,fort,fort,fort,6939,
Ensemble d'immeubles espacés,LCZ 5,69029,Bron,moyen,faible,moyen,moyen,6186,
Roche nue,,,,,,,,,
Arbres denses,LCZ A,69033,Cailloux-sur-Fontaines,effet rafraîchissant,effet rafraîchissant,faible,faible,22402,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
