lcz_lib;lcz_code;insee;commune;expo_jour;expo_nuit;vulnerabilite_jour;vulnerabilite_nuit;surface;gid
Ensemble de maisons espacées;LCZ 6;69044;Charbonnières-les-Bains;moyen;moyen;moyen;fort;3297,75;42
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;2123,24;43
Grandes emprises tertiaires bâti bas;LCZ 8;69286;Rillieux-la-Pape;moyen;faible;moyen;moyen;31587,61;44
Ensemble de maisons espacées;LCZ 6;69152;Pierre-Bénite;moyen;faible;moyen;moyen;41251,0;45
Arbres épars;LCZ B;69204;Saint-Genis-Laval;moyen;faible;moyen;moyen;316784,07;29576
Maisons éparses, constructions isolées;LCZ 9;69191;Saint-Cyr-au-Mont-d'Or;moyen;faible;moyen;moyen;18089,4;47
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;2006,77;48
Ensemble de maisons compact;LCZ 3;69266;Villeurbanne;moyen;moyen;moyen;fort;12806,41;49
Grandes emprises tertiaires bâti bas;LCZ 8;69388;Lyon 8e Arrondissement;moyen;faible;moyen;moyen;33322,05;50
Ensemble d'immeubles compact;LCZ 2;69381;Lyon 1er Arrondissement;fort;fort;fort;fort;43505,45;51
Ensemble d'immeubles compact;LCZ 2;69260;Vernaison;fort;moyen;fort;fort;1865,7;52
Grandes emprises tertiaires bâti bas;LCZ 8;69029;Bron;moyen;faible;moyen;moyen;6053,66;53
Ensemble de maisons espacées;LCZ 6;69142;La Mulatière;moyen;faible;fort;fort;4915,78;54
Roche nue, pavés, macadam;LCZ E;69290;Saint-Priest;moyen;faible;moyen;moyen;14704,1;63
Ensemble de maisons espacées;LCZ 6;69096;Grigny;moyen;faible;moyen;moyen;3695,8;64
Ensemble d'immeubles compact;LCZ 2;69388;Lyon 8e Arrondissement;fort;fort;fort;fort;5049,61;65
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;fort;fort;fort;5867,34;66
Ensemble de maisons espacées;LCZ 6;69389;Lyon 9e Arrondissement;moyen;faible;moyen;moyen;27714,63;55
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;10278,51;56
Ensemble de tours compact;LCZ 1;69386;Lyon 6e Arrondissement;fort;fort;moyen;fort;6637,65;57
Grandes emprises tertiaires bâti bas;LCZ 8;69282;Meyzieu;moyen;faible;moyen;moyen;20562,21;58
Ensemble d'immeubles compact;LCZ 2;69259;Vénissieux;fort;moyen;fort;moyen;2949,18;67
Maisons éparses, constructions isolées;LCZ 9;69127;Marcy-l'Étoile;faible;effet rafraîchissant;moyen;faible;6524,83;68
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;6683,42;1053
Ensemble d'immeubles espacés;LCZ 5;69204;Saint-Genis-Laval;moyen;faible;moyen;moyen;59311,26;59
Ensemble d'immeubles espacés;LCZ 5;69091;Givors;fort;faible;fort;fort;11551,13;60
Ensemble de maisons espacées;LCZ 6;69290;Saint-Priest;moyen;faible;moyen;moyen;11639,24;61
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;fort;fort;fort;26847,47;62
Ensemble d'immeubles compact;LCZ 2;69266;Villeurbanne;fort;fort;fort;fort;8522,23;213
Maisons éparses, constructions isolées;LCZ 9;69271;Chassieu;moyen;faible;fort;moyen;20778,29;70
Maisons éparses, constructions isolées;LCZ 9;69279;Jonage;moyen;faible;moyen;moyen;37137,58;71
Ensemble d'immeubles compact;LCZ 2;69266;Villeurbanne;fort;fort;fort;fort;51212,06;72
Ensemble de tours espacées;LCZ 4;69387;Lyon 7e Arrondissement;moyen;fort;moyen;fort;17580,31;73
Ensemble d'immeubles compact;LCZ 2;69199;Saint-Fons;fort;fort;fort;fort;3457,12;74
Ensemble de tours espacées;LCZ 4;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;8983,32;214
Ensemble de maisons espacées;LCZ 6;69044;Charbonnières-les-Bains;moyen;faible;moyen;moyen;21429,79;75
Ensemble de maisons espacées;LCZ 6;69153;Poleymieux-au-Mont-d'Or;moyen;faible;moyen;moyen;4681,31;76
Ensemble de maisons espacées;LCZ 6;69199;Saint-Fons;moyen;faible;fort;fort;8964,5;77
Maisons éparses, constructions isolées;LCZ 9;69279;Jonage;moyen;faible;moyen;moyen;39892,64;78
Ensemble de maisons espacées;LCZ 6;69029;Bron;moyen;faible;moyen;moyen;59225,42;90
Pelouses, praires, cultures;LCZ D;69163;Quincieux;moyen;faible;moyen;moyen;190159,79;79
Ensemble d'immeubles compact;LCZ 2;69266;Villeurbanne;fort;fort;fort;fort;6939,35;80
Ensemble d'immeubles espacés;LCZ 5;69029;Bron;moyen;faible;moyen;moyen;6186,13;81
Roche nue, pavés, macadam;LCZ E;69256;Vaulx-en-Velin;moyen;faible;moyen;moyen;2225,82;82
Arbres denses;LCZ A;69033;Cailloux-sur-Fontaines;effet rafraîchissant;effet rafraîchissant;faible;faible;22402,54;88
Maisons éparses, constructions isolées;LCZ 9;69091;Givors;moyen;faible;fort;moyen;17266,9;83
Maisons éparses, constructions isolées;LCZ 9;69290;Saint-Priest;moyen;faible;moyen;moyen;10904,61;84
Maisons éparses, constructions isolées;LCZ 9;69194;Saint-Didier-au-Mont-d'Or;moyen;faible;moyen;moyen;25175,77;85
Ensemble de tours espacées;LCZ 4;69275;Décines-Charpieu;fort;fort;fort;fort;1134,9;86
Ensemble de tours espacées;LCZ 4;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;3855,51;87
Grandes emprises tertiaires bâti bas;LCZ 8;69069;Craponne;moyen;faible;moyen;moyen;6675,96;89
Ensemble de maisons espacées;LCZ 6;69204;Saint-Genis-Laval;moyen;moyen;moyen;fort;4682,69;105
Ensemble d'immeubles espacés;LCZ 5;69149;Oullins;fort;faible;fort;moyen;4858,67;106
Maisons éparses, constructions isolées;LCZ 9;69290;Saint-Priest;moyen;faible;moyen;moyen;103688,02;91
Maisons éparses, constructions isolées;LCZ 9;69256;Vaulx-en-Velin;moyen;faible;moyen;moyen;147701,94;92
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;6763,7;93
Maisons éparses, constructions isolées;LCZ 9;69271;Chassieu;moyen;faible;moyen;moyen;13125,05;94
Ensemble d'immeubles compact;LCZ 2;69384;Lyon 4e Arrondissement;fort;fort;fort;fort;1875,89;95
Grandes emprises tertiaires bâti bas;LCZ 8;69152;Pierre-Bénite;moyen;faible;moyen;moyen;14758,28;130
Arbres denses;LCZ A;69044;Charbonnières-les-Bains;effet rafraîchissant;effet rafraîchissant;faible;faible;84015,74;6720
Pelouses, praires, cultures;LCZ D;69275;Décines-Charpieu;moyen;faible;moyen;moyen;99782,49;96
Arbres denses;LCZ A;69046;Charly;effet rafraîchissant;effet rafraîchissant;faible;faible;47706,97;97
Maisons éparses, constructions isolées;LCZ 9;69100;Irigny;moyen;faible;moyen;moyen;157596,26;98
Maisons éparses, constructions isolées;LCZ 9;69278;Genay;moyen;faible;moyen;moyen;3665,35;99
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;fort;fort;fort;24735,56;171
Maisons éparses, constructions isolées;LCZ 9;69282;Meyzieu;moyen;faible;moyen;moyen;119739,03;100
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;moyen;fort;fort;2993,1;101
Maisons éparses, constructions isolées;LCZ 9;69205;Saint-Genis-les-Ollières;faible;faible;moyen;moyen;22528,31;102
Ensemble de maisons espacées;LCZ 6;69266;Villeurbanne;moyen;faible;moyen;moyen;33058,26;103
Ensemble de tours espacées;LCZ 4;69388;Lyon 8e Arrondissement;fort;fort;fort;fort;3676,54;104
Maisons éparses, constructions isolées;LCZ 9;69044;Charbonnières-les-Bains;moyen;faible;moyen;moyen;43054,22;107
Maisons éparses, constructions isolées;LCZ 9;69063;Collonges-au-Mont-d'Or;moyen;faible;moyen;moyen;449,73;108
Ensemble d'immeubles compact;LCZ 2;69389;Lyon 9e Arrondissement;fort;fort;moyen;moyen;584,96;109
Grandes emprises tertiaires bâti bas;LCZ 8;69389;Lyon 9e Arrondissement;moyen;faible;moyen;moyen;14904,49;110
Maisons éparses, constructions isolées;LCZ 9;69244;Tassin-la-Demi-Lune;moyen;faible;moyen;fort;8620,42;111
Ensemble de maisons espacées;LCZ 6;69259;Vénissieux;moyen;faible;fort;fort;22366,9;112
Ensemble de maisons espacées;LCZ 6;69383;Lyon 3e Arrondissement;moyen;moyen;fort;fort;9139,39;113
Ensemble de maisons compact;LCZ 3;69388;Lyon 8e Arrondissement;moyen;moyen;moyen;moyen;20400,81;114
Maisons éparses, constructions isolées;LCZ 9;69273;Corbas;moyen;faible;moyen;moyen;33052,32;127
Ensemble d'immeubles compact;LCZ 2;69384;Lyon 4e Arrondissement;fort;fort;fort;fort;3334,07;128
Arbres épars;LCZ B;69286;Rillieux-la-Pape;moyen;faible;moyen;moyen;213900,91;115
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;5861,27;116
Grandes emprises tertiaires bâti bas;LCZ 8;69292;Sathonay-Camp;moyen;faible;moyen;fort;39681,57;117
Arbres denses;LCZ A;69081;Écully;effet rafraîchissant;effet rafraîchissant;faible;faible;37220,28;118
Maisons éparses, constructions isolées;LCZ 9;69259;Vénissieux;moyen;faible;fort;fort;21657,26;119
Ensemble de maisons espacées;LCZ 6;69266;Villeurbanne;moyen;moyen;moyen;fort;5534,01;129
Ensemble de tours espacées;LCZ 4;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;7024,66;172
Arbres denses;LCZ A;69389;Lyon 9e Arrondissement;effet rafraîchissant;effet rafraîchissant;faible;faible;62669,55;20088
Pelouses, praires, cultures;LCZ D;69089;Francheville;moyen;faible;moyen;moyen;54782,6;120
Maisons éparses, constructions isolées;LCZ 9;69127;Marcy-l'Étoile;moyen;faible;moyen;moyen;28012,05;121
Ensemble d'immeubles compact;LCZ 2;69149;Oullins;fort;fort;fort;fort;11293,4;122
Grandes emprises tertiaires bâti bas;LCZ 8;69204;Saint-Genis-Laval;moyen;faible;moyen;moyen;48893,41;123
Ensemble de maisons espacées;LCZ 6;69194;Saint-Didier-au-Mont-d'Or;moyen;faible;moyen;moyen;8822,47;124
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;10829,18;125
Ensemble de maisons espacées;LCZ 6;69256;Vaulx-en-Velin;moyen;faible;fort;moyen;38300,14;126
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;8729,98;173
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;moyen;fort;fort;3878,34;174
Maisons éparses, constructions isolées;LCZ 9;69091;Givors;moyen;faible;moyen;moyen;8526,39;131
Grandes emprises tertiaires bâti bas;LCZ 8;69290;Saint-Priest;moyen;faible;moyen;moyen;43606,03;132
Ensemble d'immeubles compact;LCZ 2;69381;Lyon 1er Arrondissement;fort;fort;fort;fort;11449,45;133
Ensemble d'immeubles compact;LCZ 2;69290;Saint-Priest;fort;moyen;fort;fort;14695,04;134
Ensemble d'immeubles compact;LCZ 2;69388;Lyon 8e Arrondissement;fort;faible;fort;moyen;72551,13;135
Grandes emprises tertiaires bâti bas;LCZ 8;69389;Lyon 9e Arrondissement;moyen;faible;moyen;moyen;4478,78;215
Roche nue, pavés, macadam;LCZ E;69199;Saint-Fons;moyen;faible;moyen;moyen;1084,03;6996
Maisons éparses, constructions isolées;LCZ 9;69385;Lyon 5e Arrondissement;moyen;faible;moyen;moyen;26618,2;136
Ensemble d'immeubles espacés;LCZ 5;69286;Rillieux-la-Pape;faible;effet rafraîchissant;faible;faible;15436,92;137
Maisons éparses, constructions isolées;LCZ 9;69259;Vénissieux;moyen;faible;moyen;moyen;27192,72;144
Ensemble d'immeubles compact;LCZ 2;69266;Villeurbanne;fort;fort;fort;fort;2618,27;1683
Ensemble de maisons espacées;LCZ 6;69259;Vénissieux;moyen;faible;fort;fort;315181,92;138
Ensemble d'immeubles espacés;LCZ 5;69266;Villeurbanne;fort;faible;fort;fort;43193,78;139
Ensemble de tours espacées;LCZ 4;69142;La Mulatière;moyen;faible;moyen;moyen;2102,03;140
Ensemble de tours espacées;LCZ 4;69199;Saint-Fons;moyen;faible;fort;fort;27412,88;141
Ensemble de maisons espacées;LCZ 6;69034;Caluire-et-Cuire;moyen;faible;moyen;moyen;6911,45;142
Maisons éparses, constructions isolées;LCZ 9;69199;Saint-Fons;moyen;faible;moyen;moyen;10934,58;143
Grandes emprises tertiaires bâti bas;LCZ 8;69286;Rillieux-la-Pape;moyen;faible;moyen;moyen;12497,42;145
Maisons éparses, constructions isolées;LCZ 9;69044;Charbonnières-les-Bains;moyen;faible;moyen;moyen;159435,61;146
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;5728,58;370
Maisons éparses, constructions isolées;LCZ 9;69276;Feyzin;moyen;faible;moyen;moyen;68551,37;147
Maisons éparses, constructions isolées;LCZ 9;69273;Corbas;moyen;faible;moyen;moyen;66646,15;148
Pelouses, praires, cultures;LCZ D;69286;Rillieux-la-Pape;moyen;faible;moyen;moyen;349686,43;149
Ensemble de maisons espacées;LCZ 6;69127;Marcy-l'Étoile;fort;moyen;moyen;moyen;83411,04;150
Ensemble de tours espacées;LCZ 4;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;28378,92;167
Ensemble de tours espacées;LCZ 4;69386;Lyon 6e Arrondissement;moyen;fort;moyen;fort;3237,4;168
Ensemble de maisons espacées;LCZ 6;69244;Tassin-la-Demi-Lune;moyen;faible;moyen;moyen;142456,13;151
Maisons éparses, constructions isolées;LCZ 9;69286;Rillieux-la-Pape;moyen;faible;moyen;moyen;47622,37;152
Ensemble de maisons espacées;LCZ 6;69091;Givors;moyen;faible;fort;fort;12562,12;153
Ensemble d'immeubles espacés;LCZ 5;69290;Saint-Priest;fort;faible;fort;moyen;50837,3;154
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;5225,52;155
Maisons éparses, constructions isolées;LCZ 9;69383;Lyon 3e Arrondissement;faible;faible;moyen;moyen;10066,96;156
Roche nue, pavés, macadam;LCZ E;69034;Caluire-et-Cuire;moyen;faible;moyen;moyen;1801,77;157
Ensemble de maisons espacées;LCZ 6;69256;Vaulx-en-Velin;moyen;faible;fort;fort;76840,59;158
Maisons éparses, constructions isolées;LCZ 9;69191;Saint-Cyr-au-Mont-d'Or;moyen;faible;moyen;moyen;21878,47;159
Ensemble d'immeubles compact;LCZ 2;69034;Caluire-et-Cuire;fort;fort;moyen;moyen;3532,12;169
Arbres denses;LCZ A;69207;Saint-Germain-au-Mont-d'Or;effet rafraîchissant;effet rafraîchissant;faible;faible;3470,9;160
Ensemble d'immeubles compact;LCZ 2;69381;Lyon 1er Arrondissement;fort;fort;fort;fort;2543,23;161
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;7600,64;162
Ensemble de maisons espacées;LCZ 6;69029;Bron;moyen;faible;moyen;moyen;15529,91;163
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;fort;fort;fort;14670,83;164
Ensemble de maisons espacées;LCZ 6;69091;Givors;faible;faible;fort;fort;17578,45;165
Roche nue, pavés, macadam;LCZ E;69096;Grigny;moyen;faible;fort;moyen;143409,68;166
Ensemble de maisons espacées;LCZ 6;69116;Limonest;moyen;faible;moyen;fort;12744,92;175
Ensemble de tours espacées;LCZ 4;69388;Lyon 8e Arrondissement;moyen;moyen;moyen;moyen;21403,79;176
Maisons éparses, constructions isolées;LCZ 9;69194;Saint-Didier-au-Mont-d'Or;moyen;faible;moyen;moyen;9168,65;177
Maisons éparses, constructions isolées;LCZ 9;69091;Givors;moyen;faible;fort;fort;65519,03;178
Ensemble de maisons espacées;LCZ 6;69286;Rillieux-la-Pape;moyen;faible;fort;fort;76534,09;179
Maisons éparses, constructions isolées;LCZ 9;69256;Vaulx-en-Velin;moyen;faible;moyen;moyen;77116,85;180
Grandes emprises tertiaires bâti bas;LCZ 8;69003;Albigny-sur-Saône;moyen;faible;moyen;moyen;59922,98;196
Arbres denses;LCZ A;69266;Villeurbanne;effet rafraîchissant;effet rafraîchissant;faible;faible;208168,49;20156
Grandes emprises tertiaires bâti bas;LCZ 8;69266;Villeurbanne;moyen;faible;moyen;moyen;44213,03;181
Maisons éparses, constructions isolées;LCZ 9;69143;Neuville-sur-Saône;moyen;faible;moyen;moyen;11406,55;182
Ensemble d'immeubles espacés;LCZ 5;69383;Lyon 3e Arrondissement;fort;moyen;moyen;moyen;16367,98;183
Maisons éparses, constructions isolées;LCZ 9;69081;Écully;moyen;faible;moyen;moyen;10300,03;184
Arbres denses;LCZ A;69091;Givors;effet rafraîchissant;effet rafraîchissant;faible;faible;48564,27;185
Ensemble de maisons espacées;LCZ 6;69385;Lyon 5e Arrondissement;moyen;faible;moyen;moyen;72709,42;186
Arbres denses;LCZ A;69081;Écully;effet rafraîchissant;effet rafraîchissant;faible;faible;1201,8;200
Grandes emprises tertiaires bâti bas;LCZ 8;69290;Saint-Priest;moyen;faible;moyen;moyen;16476,29;201
Maisons éparses, constructions isolées;LCZ 9;69096;Grigny;moyen;faible;fort;fort;36596,79;187
Maisons éparses, constructions isolées;LCZ 9;69283;Mions;moyen;faible;moyen;moyen;10015,6;188
Ensemble de maisons espacées;LCZ 6;69202;Sainte-Foy-lès-Lyon;moyen;moyen;moyen;fort;33716,42;189
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;11679,19;190
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;4940,95;191
Ensemble de maisons espacées;LCZ 6;69199;Saint-Fons;moyen;moyen;moyen;moyen;3862,01;192
Ensemble de maisons espacées;LCZ 6;69087;Fontaines-Saint-Martin;moyen;faible;moyen;moyen;73364,26;193
Ensemble de maisons espacées;LCZ 6;69259;Vénissieux;moyen;faible;fort;moyen;10892,18;194
Pelouses, praires, cultures;LCZ D;69087;Fontaines-Saint-Martin;moyen;faible;moyen;moyen;462030,06;195
Arbres épars;LCZ B;69163;Quincieux;moyen;faible;moyen;moyen;453649,85;197
Arbres denses;LCZ A;69063;Collonges-au-Mont-d'Or;effet rafraîchissant;effet rafraîchissant;faible;faible;1784,31;202
Ensemble d'immeubles compact;LCZ 2;69266;Villeurbanne;fort;fort;moyen;fort;5044,28;203
Ensemble de maisons espacées;LCZ 6;69069;Craponne;moyen;faible;moyen;moyen;19775,45;216
Ensemble de maisons espacées;LCZ 6;69286;Rillieux-la-Pape;moyen;faible;fort;moyen;48320,05;198
Maisons éparses, constructions isolées;LCZ 9;69204;Saint-Genis-Laval;moyen;faible;moyen;moyen;26924,08;204
Ensemble d'immeubles compact;LCZ 2;69389;Lyon 9e Arrondissement;fort;fort;fort;fort;7137,66;205
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;fort;fort;fort;9396,2;206
Pelouses, praires, cultures;LCZ D;69163;Quincieux;moyen;faible;moyen;moyen;668302,27;207
Ensemble de maisons espacées;LCZ 6;69259;Vénissieux;moyen;faible;moyen;moyen;59583,69;208
Grandes emprises tertiaires bâti bas;LCZ 8;69034;Caluire-et-Cuire;moyen;faible;moyen;moyen;5416,78;209
Grandes emprises tertiaires bâti bas;LCZ 8;69286;Rillieux-la-Pape;moyen;faible;moyen;moyen;17858,18;210
Grandes emprises tertiaires bâti bas;LCZ 8;69127;Marcy-l'Étoile;moyen;faible;moyen;faible;40550,87;211
Ensemble d'immeubles espacés;LCZ 5;69149;Oullins;fort;faible;moyen;moyen;9285,13;594
Maisons éparses, constructions isolées;LCZ 9;69044;Charbonnières-les-Bains;moyen;faible;moyen;moyen;52307,16;199
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;3196,21;1623
Grandes emprises tertiaires bâti bas;LCZ 8;69290;Saint-Priest;moyen;faible;moyen;moyen;331277,19;217
Arbres épars;LCZ B;69382;Lyon 2e Arrondissement;moyen;faible;moyen;moyen;50836,95;218
Ensemble de tours compact;LCZ 1;69382;Lyon 2e Arrondissement;fort;fort;moyen;moyen;15276,77;219
Maisons éparses, constructions isolées;LCZ 9;69029;Bron;moyen;faible;moyen;moyen;26757,93;220
Ensemble de maisons espacées;LCZ 6;69259;Vénissieux;moyen;faible;fort;moyen;23575,99;221
Arbres épars;LCZ B;69046;Charly;moyen;faible;fort;moyen;103564,88;222
Maisons éparses, constructions isolées;LCZ 9;69149;Oullins;moyen;faible;moyen;moyen;30975,39;223
Ensemble de tours espacées;LCZ 4;69386;Lyon 6e Arrondissement;fort;fort;moyen;fort;6688,08;224
Roche nue, pavés, macadam;LCZ E;69385;Lyon 5e Arrondissement;moyen;faible;moyen;moyen;2006,09;225
Ensemble d'immeubles compact;LCZ 2;69389;Lyon 9e Arrondissement;fort;fort;fort;fort;14254,44;226
Ensemble d'immeubles compact;LCZ 2;69382;Lyon 2e Arrondissement;fort;fort;fort;fort;5660,04;227
Ensemble d'immeubles espacés;LCZ 5;69384;Lyon 4e Arrondissement;fort;faible;fort;moyen;2919,55;228
Ensemble de maisons espacées;LCZ 6;69276;Feyzin;moyen;faible;moyen;moyen;43162,28;229
Ensemble de maisons espacées;LCZ 6;69003;Albigny-sur-Saône;moyen;faible;moyen;moyen;40046,27;230
Ensemble de maisons espacées;LCZ 6;69385;Lyon 5e Arrondissement;moyen;faible;moyen;moyen;18335,02;231
Ensemble de maisons espacées;LCZ 6;69290;Saint-Priest;moyen;faible;moyen;moyen;49010,26;246
Grandes emprises tertiaires bâti bas;LCZ 8;69259;Vénissieux;moyen;faible;moyen;moyen;59134,81;247
